Country Code,IMF Country Code,Country,Indicator Type,Series Name,2016,2017,2018,2019,2020,2021,2022,Note
SSD,733,South Sudan,Inflation,Headline Consumer Price Inflation,379.85,187.87,83.49,51.19,29.68,30.23,17.6,Annual average inflation
STP,716,São Tomé and Principe,Inflation,Headline Consumer Price Inflation,5.43,5.69,7.87,8.36,7.87,8.14,15.05,Annual average inflation
SUR,366,Suriname,Inflation,Headline Consumer Price Inflation,55.5,22.02,6.94,4.39,49.77,59.11,54.26,Annual average inflation
SVK,936,Slovak Republic,Inflation,Headline Consumer Price Inflation,-0.52,1.39,2.51,2.77,1.94,3.15,12.8,Annual average inflation
SVN,961,Slovenia,Inflation,Headline Consumer Price Inflation,-0.05,1.43,1.74,1.63,-0.05,1.92,8.8,Annual average inflation
SWE,144,Sweden,Inflation,Headline Consumer Price Inflation,0.98,1.87,1.95,1.64,0.5,2.16,8.4,Annual average inflation
SWZ,734,Swaziland,Inflation,Headline Consumer Price Inflation,7.85,6.22,4.81,2.58,4.11,3.72,4.87,Annual average inflation
SYC,718,Seychelles,Inflation,Headline Consumer Price Inflation,-1.01,2.86,3.7,1.81,3.9,9.77,2.63,Annual average inflation
SYR,463,Syrian Arab Republic,Inflation,Headline Consumer Price Inflation,25,,,,,,,Annual average inflation
TCD,628,Chad,Inflation,Headline Consumer Price Inflation,-1.12,-0.9,4.27,-0.97,2.8,-0.77,5.11,Annual average inflation
TGO,742,Togo,Inflation,Headline Consumer Price Inflation,0.86,-0.22,0.94,0.69,1.83,4.55,7.61,Annual average inflation
THA,578,Thailand,Inflation,Headline Consumer Price Inflation,0.19,0.67,1.07,0.71,-0.85,1.23,6.08,Annual average inflation
TJK,923,Tajikistan,Inflation,Headline Consumer Price Inflation,6.04,7.31,3.83,7.79,8.59,8.92,7.67,Annual average inflation
TKM,925,Turkmenistan,Inflation,Headline Consumer Price Inflation,3.65,8.04,13.3,5.09,7.58,14.95,17.5,Annual average inflation
TON,866,Tonga,Inflation,Headline Consumer Price Inflation,2.58,7.37,2.91,3.29,0.24,1.41,8.52,Annual average inflation
TTO,369,Trinidad and Tobago,Inflation,Headline Consumer Price Inflation,3.09,1.88,1.03,1,0.6,2.06,5.03,Annual average inflation
TUN,744,Tunisia,Inflation,Headline Consumer Price Inflation,3.61,5.31,7.27,6.72,5.63,5.71,8.31,Annual average inflation
TUR,186,Turkey,Inflation,Headline Consumer Price Inflation,7.78,11.14,16.33,15.18,12.28,19.6,72.31,Annual average inflation
TUV,869,Tuvalu,Inflation,Headline Consumer Price Inflation,3.51,4.12,2.14,2.18,1.57,2.94,5.71,Annual average inflation
TZA,738,Tanzania,Inflation,Headline Consumer Price Inflation,5.18,5.32,3.51,3.45,3.29,3.69,4.35,Annual average inflation
UGA,746,Uganda,Inflation,Headline Consumer Price Inflation,5.17,5.63,2.62,2.87,3.79,2.21,7.2,Annual average inflation
UKR,926,Ukraine,Inflation,Headline Consumer Price Inflation,13.95,14.44,10.94,7.89,2.73,9.36,20.18,Annual average inflation
URY,298,Uruguay,Inflation,Headline Consumer Price Inflation,9.63,6.22,7.61,7.88,9.76,7.75,9.11,Annual average inflation
USA,111,United States,Inflation,Headline Consumer Price Inflation,1.26,2.14,2.44,1.81,1.23,4.7,8,Annual average inflation
UZB,927,Uzbekistan,Inflation,Headline Consumer Price Inflation,7.98,13.88,17.68,14.53,12.86,10.69,11.32,Annual average inflation
VCT,364,St. Vincent and the Grenadines,Inflation,Headline Consumer Price Inflation,-0.16,2.15,1.24,0.91,-0.61,1.56,5.83,Annual average inflation
VEN,299,"Venezuela, RB",Inflation,Headline Consumer Price Inflation,254.39,438.12,65374.08,19906.02,2355.15,1588.51,220.84,Annual average inflation
VNM,582,Vietnam,Inflation,Headline Consumer Price Inflation,2.68,3.52,3.54,2.8,3.22,1.83,3.16,Annual average inflation
VUT,846,Vanuatu,Inflation,Headline Consumer Price Inflation,0.84,3.09,2.31,2.75,2.92,2.34,4.58,Annual average inflation
WSM,862,Samoa,Inflation,Headline Consumer Price Inflation,0.13,1.3,4.2,2.19,-1.57,-3.01,8.75,Annual average inflation
YEM,474,"Yemen, Rep.",Inflation,Headline Consumer Price Inflation,5,30.4,27.6,10,26.18,45.7,43.85,Annual average inflation
ZAF,199,South Africa,Inflation,Headline Consumer Price Inflation,6.59,5.27,4.5,4.13,3.22,4.61,7,Annual average inflation
